section,stack_no,process,report_month,sampling_date,stack_temperature,oxygen_pct,gas_velocity,flow_rate,emission_actual_o2,emission_rate,operation_hour,emission_total
Nox,Ống khói lò nung men số 6,,Feb,2/12/2019,117.5,,,176.0,5.8,0.061248,0.0,0.0
Nox,Ống khói lò nung men số 6,,Mar,2/12/2019,117.5,,,176.0,5.8,0.061248,600.0,36.748799999999996
Nox,Ống khói lò nung men số 6,,Apr,2/12/2019,117.5,,,176.0,5.8,0.061248,720.0,44.09856
Nox,Ống khói lò nung men số 6,,May,2/12/2019,117.5,,,176.0,5.8,0.061248,744.0,45.568512
Nox,Ống khói lò nung men số 6,,Jun,8/6/2020,109.3,,,176.0,69.8,0.737088,720.0,530.70336
Nox,Ống khói lò nung men số 6,,Jul,8/6/2020,109.3,,,176.0,69.8,0.737088,744.0,548.393472
Nox,Ống khói lò nung men số 6,,Aug,8/6/2020,109.3,,,176.0,69.8,0.737088,744.0,548.393472
Nox,Ống khói lò nung men số 6,,Sep,8/6/2020,109.3,,,176.0,69.8,0.737088,720.0,530.70336
Nox,Ống khói lò nung men số 6,,Oct,8/6/2020,109.3,,,176.0,69.8,0.737088,744.0,548.393472
Nox,Ống khói lò nung men số 6,,Nov,8/6/2020,109.3,,,176.0,69.8,0.737088,720.0,530.70336
Nox,Ống khói lò nung men số 6,,Dec,8/6/2020,109.3,,,176.0,69.8,0.737088,744.0,548.393472
