category,name,original_name,unit,period,Month,value,has_data
Water_Withdrawal,Specific Water Withdrawal (DV),Specific Water Withdrawal (DV),m3/ton,Sep,9,0.560858,1
Water_Withdrawal,Specific Water Withdrawal (YB),Specific Water Withdrawal (YB),m3/ton,Sep,9,0.0,0
Water_Withdrawal,Specific Water Withdrawal (DV+YB),Specific Water Withdrawal (DV+YB),m3/ton,Sep,9,0.560858,1
Water_Withdrawal,Surface water (Lake) (DV),Surface water (Lake) (DV) (Nước mặt),m3,Oct,10,6081.0,1
Water_Withdrawal,Surface water (Lake) (YB),Surface water (Lake) (YB) (Nước Mặt),m3,Oct,10,0.0,1
Water_Withdrawal,Surface water (Lake) (DV+YB),Surface water (Lake) (DV+YB) (tổng nước mặt),m3,Oct,10,6081.0,1
Water_Withdrawal,Ground water (wells) (DV),Ground water (wells) (DV),m3,Oct,10,0.0,0
Water_Withdrawal,Tap wate (DV),Tap wate (DV) (Nước sạch),m3,Oct,10,1289.0,1
Water_Withdrawal,Total Water Withdrawal (DV),Total Water Withdrawal (DV),m3,Oct,10,7370.0,1
Water_Withdrawal,Total Water Withdrawal (YB),Total Water Withdrawal (YB),m3,Oct,10,0.0,1
Water_Withdrawal,Total Water Withdrawal (DV+YB),Total Water Withdrawal (DV+YB),m3,Oct,10,7370.0,1
Water_Withdrawal,Specific Water Withdrawal (DV),Specific Water Withdrawal (DV),m3/ton,Oct,10,0.591263,1
Water_Withdrawal,Specific Water Withdrawal (YB),Specific Water Withdrawal (YB),m3/ton,Oct,10,0.0,0
Water_Withdrawal,Specific Water Withdrawal (DV+YB),Specific Water Withdrawal (DV+YB),m3/ton,Oct,10,0.591263,1
Water_Withdrawal,Surface water (Lake) (DV),Surface water (Lake) (DV) (Nước mặt),m3,Nov,11,6741.0,1
Water_Withdrawal,Surface water (Lake) (YB),Surface water (Lake) (YB) (Nước Mặt),m3,Nov,11,0.0,1
Water_Withdrawal,Surface water (Lake) (DV+YB),Surface water (Lake) (DV+YB) (tổng nước mặt),m3,Nov,11,6741.0,1
Water_Withdrawal,Ground water (wells) (DV),Ground water (wells) (DV),m3,Nov,11,0.0,0
Water_Withdrawal,Tap wate (DV),Tap wate (DV) (Nước sạch),m3,Nov,11,1726.0,1
Water_Withdrawal,Total Water Withdrawal (DV),Total Water Withdrawal (DV),m3,Nov,11,8467.0,1
Water_Withdrawal,Total Water Withdrawal (YB),Total Water Withdrawal (YB),m3,Nov,11,0.0,1
Water_Withdrawal,Total Water Withdrawal (DV+YB),Total Water Withdrawal (DV+YB),m3,Nov,11,8467.0,1
Water_Withdrawal,Specific Water Withdrawal (DV),Specific Water Withdrawal (DV),m3/ton,Nov,11,0.687025,1
Water_Withdrawal,Specific Water Withdrawal (YB),Specific Water Withdrawal (YB),m3/ton,Nov,11,0.0,0
Water_Withdrawal,Specific Water Withdrawal (DV+YB),Specific Water Withdrawal (DV+YB),m3/ton,Nov,11,0.687025,1
Water_Withdrawal,Surface water (Lake) (DV),Surface water (Lake) (DV) (Nước mặt),m3,Dec,12,7894.0,1
Water_Withdrawal,Surface water (Lake) (YB),Surface water (Lake) (YB) (Nước Mặt),m3,Dec,12,0.0,1
Water_Withdrawal,Surface water (Lake) (DV+YB),Surface water (Lake) (DV+YB) (tổng nước mặt),m3,Dec,12,7894.0,1
Water_Withdrawal,Ground water (wells) (DV),Ground water (wells) (DV),m3,Dec,12,0.0,0
Water_Withdrawal,Tap wate (DV),Tap wate (DV) (Nước sạch),m3,Dec,12,1064.0,1
Water_Withdrawal,Total Water Withdrawal (DV),Total Water Withdrawal (DV),m3,Dec,12,8958.0,1
Water_Withdrawal,Total Water Withdrawal (YB),Total Water Withdrawal (YB),m3,Dec,12,0.0,1
Water_Withdrawal,Total Water Withdrawal (DV+YB),Total Water Withdrawal (DV+YB),m3,Dec,12,8958.0,1
Water_Withdrawal,Specific Water Withdrawal (DV),Specific Water Withdrawal (DV),m3/ton,Dec,12,0.574958,1
Water_Withdrawal,Specific Water Withdrawal (YB),Specific Water Withdrawal (YB),m3/ton,Dec,12,0.0,1
Water_Withdrawal,Specific Water Withdrawal (DV+YB),Specific Water Withdrawal (DV+YB),m3/ton,Dec,12,0.559737,1
