category,name,original_name,unit,period,value
Energy Consumption,"Total Thermal Consumption-Coal, Biomass (DV)","Total Thermal Consumption-Coal, Biomass (DV)",GJ,Apr,93770.402
Energy Consumption,"Total Thermal Consumption-Coal, Biomass (YB)","Total Thermal Consumption-Coal, Biomass (YB)",GJ,Apr,0.0
Energy Consumption,"Total Thermal Consumption-Coal, Biomass","Total Thermal Consumption-Coal, Biomass",GJ,Apr,93770.402
Energy Consumption,Total Thermal Consumption-Coal Gas (DV),Total Thermal Consumption-Coal Gas (DV),GJ,Apr,69981.078
Energy Consumption,Total Thermal Consumption-Coal Gas (YB),Total Thermal Consumption-Coal Gas (YB),GJ,Apr,0.0
Energy Consumption,Total Thermal Consumption-Coal Gas,Total Thermal Consumption-Coal Gas,GJ,Apr,69981.078
Energy Consumption,Total Electrical Consumption (DV),Total Electrical Consumption (DV),GJ,Apr,7087.355
Energy Consumption,Total Electrical Consumption (YB),Total Electrical Consumption (YB),GJ,Apr,0.0
Energy Consumption,Total Electrical Consumption,Total Electrical Consumption,GJ,Apr,7087.355
Energy Consumption,Total Renewable Energy (DV),Total Renewable Energy (DV),GJ,Apr,401.052
Energy Consumption,Total Renewable Energy (YB),Total Renewable Energy (YB),GJ,Apr,0.0
Energy Consumption,Total Renewable Energy,Total Renewable Energy,GJ,Apr,401.052
Energy Consumption,"Total Energy Consumption-Coal, Biomass (DV)","Total Energy Consumption-Coal, Biomass (DV)",GJ,Apr,100857.757
Energy Consumption,"Total Energy Consumption-Coal, Biomass (YB)","Total Energy Consumption-Coal, Biomass (YB)",GJ,Apr,0.0
Energy Consumption,"Total Energy Consumption-Coal, Biomass","Total Energy Consumption-Coal, Biomass",GJ,Apr,100857.757
Energy Consumption,Total Energy Consumption-Coal Gas (DV),Total Energy Consumption-Coal Gas (DV),GJ,Apr,77068.433
Energy Consumption,Total Energy Consumption-Coal Gas (YB),Total Energy Consumption-Coal Gas (YB),GJ,Apr,0.0
Energy Consumption,Total Energy Consumption-Coal Gas,Total Energy Consumption-Coal Gas,GJ,Apr,77068.433
Energy Consumption,"Specific Energy Consumption-Coal, Biomass (DV)","Specific Energy Consumption-Coal, Biomass (DV)",GJ/ton,Apr,6.385
Energy Consumption,"Specific Energy Consumption-Coal, Biomass (YB)","Specific Energy Consumption-Coal, Biomass (YB)",GJ/ton,Apr,0.0
Energy Consumption,"Specific Energy Consumption-Coal, Biomass","Specific Energy Consumption-Coal, Biomass",GJ/ton,Apr,6.385
Energy Consumption,Specific Energy Consumption-Coal Gas (DV),Specific Energy Consumption-Coal Gas (DV),GJ/ton,Apr,4.879
Energy Consumption,Specific Energy Consumption-Coal Gas (YB),Specific Energy Consumption-Coal Gas (YB),GJ/ton,Apr,0.0
Energy Consumption,Specific Energy Consumption-Coal Gas,Specific Energy Consumption-Coal Gas,GJ/ton,Apr,4.879
Energy Consumption,Coal 5A (DV),Coal/ Than 5A (DV),Ton,May,2197.301
