category,Stack No.,period,variable,unit,Sampling,value
Dust,Spray Dryer 2,Jul,Dust Emission rate,kg/hr,2020-06-08,3.7145
Dust,Spray Dryer 2,Jul,Operation Hour,hr,2020-06-08,611.0
Dust,Spray Dryer 2,Jul,Dust Emission,kg,2020-06-08,2269.5595
Dust,Spray Dryer 2,Aug,Stack Temperature,๐C,2020-06-08,94.1
Dust,Spray Dryer 2,Aug,%Oxygen,%,2020-06-08,0.0
Dust,Spray Dryer 2,Aug,Gas Velocity,m/s,2020-06-08,0.0
Dust,Spray Dryer 2,Aug,Flow rate,m3/min,2020-06-08,1416.666667
Dust,Spray Dryer 2,Aug,Dust Emission Actual O2,mg/m3,2020-06-08,43.7
Dust,Spray Dryer 2,Aug,Dust Emission rate,kg/hr,2020-06-08,3.7145
Dust,Spray Dryer 2,Aug,Operation Hour,hr,2020-06-08,531.0
Dust,Spray Dryer 2,Aug,Dust Emission,kg,2020-06-08,1972.3995
Dust,Spray Dryer 2,Sep,Stack Temperature,๐C,2020-06-08,94.1
Dust,Spray Dryer 2,Sep,%Oxygen,%,2020-06-08,0.0
Dust,Spray Dryer 2,Sep,Gas Velocity,m/s,2020-06-08,0.0
Dust,Spray Dryer 2,Sep,Flow rate,m3/min,2020-06-08,1416.666667
Dust,Spray Dryer 2,Sep,Dust Emission Actual O2,mg/m3,2020-06-08,43.7
Dust,Spray Dryer 2,Sep,Dust Emission rate,kg/hr,2020-06-08,3.7145
Dust,Spray Dryer 2,Sep,Operation Hour,hr,2020-06-08,621.0
Dust,Spray Dryer 2,Sep,Dust Emission,kg,2020-06-08,2306.7045
Dust,Spray Dryer 2,Oct,Stack Temperature,๐C,2020-08-20,95.1
Dust,Spray Dryer 2,Oct,%Oxygen,%,2020-08-20,0.0
Dust,Spray Dryer 2,Oct,Gas Velocity,m/s,2020-08-20,0.0
Dust,Spray Dryer 2,Oct,Flow rate,m3/min,2020-08-20,1416.666667
Dust,Spray Dryer 2,Oct,Dust Emission Actual O2,mg/m3,2020-08-20,42.3
Dust,Spray Dryer 2,Oct,Dust Emission rate,kg/hr,2020-08-20,3.5955
Dust,Spray Dryer 2,Oct,Operation Hour,hr,2020-08-20,200.0
Dust,Spray Dryer 2,Oct,Dust Emission,kg,2020-08-20,719.1
Dust,Spray Dryer 2,Nov,Stack Temperature,๐C,2020-08-20,95.1
Dust,Spray Dryer 2,Nov,%Oxygen,%,2020-08-20,0.0
Dust,Spray Dryer 2,Nov,Gas Velocity,m/s,2020-08-20,0.0
Dust,Spray Dryer 2,Nov,Flow rate,m3/min,2020-08-20,1416.666667
