section,waste_category_en,report_month,incoming_stock,waste_generated,reuse_recycle,incineration,landfill
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Rubber/ Cao su (bao gồm các loại dây cao su, dây đai cao su, một số đồ dùng cho sản xuất làm từ cao su)",Apr,5.738199999999999,0.1845,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Rubber/ Cao su (bao gồm các loại dây cao su, dây đai cao su, một số đồ dùng cho sản xuất làm từ cao su)",May,5.922699999999999,0.224,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Rubber/ Cao su (bao gồm các loại dây cao su, dây đai cao su, một số đồ dùng cho sản xuất làm từ cao su)",Jun,6.146699999999999,0.3395,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Rubber/ Cao su (bao gồm các loại dây cao su, dây đai cao su, một số đồ dùng cho sản xuất làm từ cao su)",Jul,6.486199999999999,0.1462,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Rubber/ Cao su (bao gồm các loại dây cao su, dây đai cao su, một số đồ dùng cho sản xuất làm từ cao su)",Aug,6.6324,0.089,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Rubber/ Cao su (bao gồm các loại dây cao su, dây đai cao su, một số đồ dùng cho sản xuất làm từ cao su)",Sep,6.7214,0.372,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Rubber/ Cao su (bao gồm các loại dây cao su, dây đai cao su, một số đồ dùng cho sản xuất làm từ cao su)",Oct,7.0934,0.165,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Rubber/ Cao su (bao gồm các loại dây cao su, dây đai cao su, một số đồ dùng cho sản xuất làm từ cao su)",Nov,7.2584,4.894,4.8,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Rubber/ Cao su (bao gồm các loại dây cao su, dây đai cao su, một số đồ dùng cho sản xuất làm từ cao su)",Dec,7.3524,0.08,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Refractory/ Gạch chịu lửa (Gạch lò tầng sôi,
 gạch xây lò nung, tháp sấy phun)",Jan,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Refractory/ Gạch chịu lửa (Gạch lò tầng sôi,
 gạch xây lò nung, tháp sấy phun)",Feb,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Refractory/ Gạch chịu lửa (Gạch lò tầng sôi,
 gạch xây lò nung, tháp sấy phun)",Mar,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Refractory/ Gạch chịu lửa (Gạch lò tầng sôi,
 gạch xây lò nung, tháp sấy phun)",Apr,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Refractory/ Gạch chịu lửa (Gạch lò tầng sôi,
 gạch xây lò nung, tháp sấy phun)",May,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Refractory/ Gạch chịu lửa (Gạch lò tầng sôi,
 gạch xây lò nung, tháp sấy phun)",Jun,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Refractory/ Gạch chịu lửa (Gạch lò tầng sôi,
 gạch xây lò nung, tháp sấy phun)",Jul,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Refractory/ Gạch chịu lửa (Gạch lò tầng sôi,
 gạch xây lò nung, tháp sấy phun)",Aug,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Refractory/ Gạch chịu lửa (Gạch lò tầng sôi,
 gạch xây lò nung, tháp sấy phun)",Sep,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Refractory/ Gạch chịu lửa (Gạch lò tầng sôi,
 gạch xây lò nung, tháp sấy phun)",Oct,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Refractory/ Gạch chịu lửa (Gạch lò tầng sôi,
 gạch xây lò nung, tháp sấy phun)",Nov,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Refractory/ Gạch chịu lửa (Gạch lò tầng sôi,
 gạch xây lò nung, tháp sấy phun)",Dec,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Other (Dây dù, Túi lọc bụi (filter bag))",Jan,1.8300999999999998,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Other (Dây dù, Túi lọc bụi (filter bag))",Feb,1.8300999999999998,0.081,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Other (Dây dù, Túi lọc bụi (filter bag))",Mar,1.9110999999999998,,0.0,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Other (Dây dù, Túi lọc bụi (filter bag))",Apr,1.9110999999999998,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Other (Dây dù, Túi lọc bụi (filter bag))",May,1.9110999999999998,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Other (Dây dù, Túi lọc bụi (filter bag))",Jun,1.9110999999999998,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Other (Dây dù, Túi lọc bụi (filter bag))",Jul,1.9110999999999998,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Other (Dây dù, Túi lọc bụi (filter bag))",Aug,1.9110999999999998,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Other (Dây dù, Túi lọc bụi (filter bag))",Sep,1.9110999999999998,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Other (Dây dù, Túi lọc bụi (filter bag))",Oct,1.9110999999999998,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Other (Dây dù, Túi lọc bụi (filter bag))",Nov,1.9110999999999998,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Other (Dây dù, Túi lọc bụi (filter bag))",Dec,1.9110999999999998,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,iron waste (Sắt phế liệu),Jan,0.0,28.28,28.28,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,iron waste (Sắt phế liệu),Feb,0.0,14.96,14.96,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,iron waste (Sắt phế liệu),Mar,0.0,35.0,35.0,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,iron waste (Sắt phế liệu),Apr,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,iron waste (Sắt phế liệu),May,0.0,43.04,43.04,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,iron waste (Sắt phế liệu),Jun,0.0,9.0,9.0,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,iron waste (Sắt phế liệu),Jul,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,iron waste (Sắt phế liệu),Aug,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,iron waste (Sắt phế liệu),Sep,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,iron waste (Sắt phế liệu),Oct,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,iron waste (Sắt phế liệu),Nov,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,iron waste (Sắt phế liệu),Dec,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Con lăn hỏng,Jan,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Con lăn hỏng,Feb,0.0,,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Con lăn hỏng,Mar,0.0,3.34,3.34,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Con lăn hỏng,Apr,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Con lăn hỏng,May,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Con lăn hỏng,Jun,0.0,1.0,1.0,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Con lăn hỏng,Jul,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Con lăn hỏng,Aug,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Con lăn hỏng,Sep,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Con lăn hỏng,Oct,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Con lăn hỏng,Nov,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Con lăn hỏng,Dec,0.0,,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Total Non Hazardous Waste Generate (ton),Jan,5.899099999999999,99.61,99.56,0.0,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Total Non Hazardous Waste Generate (ton),Feb,5.949099999999999,211.70569999999998,14.96,195.2,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Total Non Hazardous Waste Generate (ton),Mar,7.494799999999998,42.914500000000004,42.760000000000005,0.0,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Total Non Hazardous Waste Generate (ton),Apr,7.649299999999998,0.1845,0.0,0.0,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Total Non Hazardous Waste Generate (ton),May,7.833799999999998,48.504,48.28,0.0,0.0
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,Total Non Hazardous Waste Generate (ton),Jun,8.057799999999999,10.3395,10.0,0.0,0.0
