Energy Consumption,unit, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, YTD,Q1, Q2,Q3,Q4,,,
"Total Energy Consumption-Coal, Biomass (DV)",GJ,56954.8353142,45040.77536759999,112245.75648359998,100857.75686207999,101041.05715363998,101790.14076063997,115353.35555608,104506.86271356,80208.73552352001,82043.14748579999,74657.9890224,98049.57901252,1072749.9912556398,214241.36716539998,303688.95477635995,300068.95379316004,254750.71552072,,,
"Total Energy Consumption-Coal, Biomass (YB)",GJ,0,0,0,0,0,0,0,0,0,0,0,159699.73176040003,159699.73176040003,0,0,0,159699.73176040003,,,
"Total Energy Consumption-Coal, Biomass",GJ,56954.8353142,45040.77536759999,112245.75648359998,100857.75686208,101041.05715363998,101790.14076063997,115353.35555608,104506.86271355998,80208.73552352,82043.14748579999,74657.9890224,98756.05254321276,1073456.4647863326,214241.36716539998,303688.95477635995,300068.95379316,255457.18905141274,,,
Total Energy Consumption-Coal Gas (DV),GJ,43634.45044333222,24478.73909625133,84955.73026525222,77068.4329106876,74996.18169660759,76211.54499065157,85632.6761239571,75915.10284409276,61067.17252720279,58123.4694485734,59309.21961040776,71207.28372461694,792600.0036816333,153068.91980483578,228276.15959794677,222614.95149525267,188639.97278359812,,,
Total Energy Consumption-Coal Gas (YB),GJ,0,0,0,0,0,0,0,0,0,0,0,38.130066,38.130066,0,0,0,38.130066,,,
Total Energy Consumption-Coal Gas,GJ,43634.45044333222,24478.73909625133,84955.73026525222,77068.4329106876,74996.18169660759,76211.54499065157,85632.6761239571,75915.10284409276,61067.17252720279,58123.4694485734,59309.21961040776,71245.41379061693,792638.1337476333,153068.91980483578,228276.15959794677,222614.95149525267,188678.1028495981,,,
"Specific Energy Consumption-Coal, Biomass (DV)",GJ/ton,5.926664334447354,7.137907713618974,6.329776373634818,6.3852389513835135,6.279040170692474,6.2036837235280275,6.250749514122785,6.459162608424829,6.608743445558276,6.581964909335793,6.0578632992856845,6.293189169218898,6.344321034361265,6.366192021864419,6.288171671838541,6.415744499959049,6.3105130822985664,,,
"Specific Energy Consumption-Coal, Biomass (YB)",GJ/ton,,,,,,,,,,,,376.946,376.946,,,,376.946,,,
"Specific Energy Consumption-Coal, Biomass",GJ/ton,5.926664334447354,7.137907713618974,6.329776373634818,6.385238951383514,6.279040170692474,6.2036837235280275,6.250749514122785,6.459162608424828,6.608743445558274,6.581964909335793,6.0578632992856845,6.170735196959179,6.332632129101749,6.366192021864419,6.288171671838541,6.4157444999590485,6.262291846961913,,,
Specific Energy Consumption-Coal Gas (DV),GJ/ton,4.540558141711134,3.8793066768670306,4.790833890601964,4.879152333482315,4.660521680859971,4.644775197975241,4.6402500048178785,4.6920171649327065,5.031587563920452,4.662993169363422,4.812440697798133,4.570350135292633,4.687493746148996,4.548449951332866,4.72667727147659,4.759708169105744,4.672862306439802,,,
Specific Energy Consumption-Coal Gas (YB),GJ/ton,,,,,,,,,,,,0.08999999999999998,0.08999999999999998,,,,0.08999999999999998,,,
Specific Energy Consumption-Coal Gas,GJ/ton,4.540558141711134,3.8793066768670306,4.790833890601964,4.879152333482315,4.660521680859971,4.644775197975241,4.6402500048178785,4.6920171649327065,5.031587563920452,4.662993169363422,4.812440697798133,4.451743170954598,4.676003058513064,4.548449951332866,4.72667727147659,4.759708169105744,4.625265585841399,,,
,,17330,17932,31613,,,,,,,,,,,,,,,,,
